word,adjacent,speaker,variety,age,gender,duration,repetition,point,F0,token,semitone.norm,cat
an,null.son,AME_007,AE,19,F,0.429388633,3,8,200.8319991,AE_007-an-3,0.634121036,function
an,null.son,HKE_024,HKE,28,F,0.277847326,1,1,211.5430769,HKE_024-an-1,1.173468235,function
an,null.son,AME_013,AE,21,M,0.363250934,1,5,139.3838609,AE_013-an-1,-0.285611094,function
an,null.son,HKE_006,HKE,19,F,0.354345514,1,2,242.4686589,HKE_006-an-1,-0.003444452,function
an,null.son,HKE_012,HKE,24,M,0.164787882,2,4,97.84136779,HKE_012-an-2,-0.064295015,function
an,null.son,HKE_023,HKE,30,M,0.227550751,1,5,116.2275949,HKE_023-an-1,-0.517019108,function
an,null.son,AME_023,AE,20,F,0.390254703,1,6,201.8185885,AE_023-an-1,-0.289436547,function
an,null.son,HKE_010,HKE,38,F,0.247996446,1,9,140.0242878,HKE_010-an-1,-1.458272919,function
an,null.son,AME_033,AE,18,M,0.207696414,2,2,93.90499073,AE_033-an-2,-1.735087432,function
an,null.son,HKE_038,HKE,35,F,0.22003899,2,5,180.9764375,HKE_038-an-2,-0.992133573,function
an,null.son,AME_011,AE,18,F,0.518556083,3,3,227.0291539,AE_011-an-3,0.066651029,function
an,null.son,AME_023,AE,20,F,0.419318229,3,6,195.571083,AE_023-an-3,-1.043255329,function
an,null.son,HKE_040,HKE,20,M,0.234862234,2,6,144.6610076,HKE_040-an-2,-0.133430849,function
an,null.son,HKE_038,HKE,35,F,0.20458587,3,5,178.0842557,HKE_038-an-3,-1.161755831,function
an,null.son,AME_023,AE,20,F,0.426044769,2,6,198.5721352,AE_023-an-2,-0.678191351,function
an,null.son,HKE_040,HKE,20,M,0.207055632,3,6,131.7490627,HKE_040-an-3,-0.986869851,function
an,null.son,HKE_032,HKE,32,F,0.298100885,3,7,209.4907139,HKE_032-an-3,-1.386300429,function
an,null.son,HKE_009,HKE,25,M,0.243994901,3,7,129.3073724,HKE_009-an-3,-0.153370148,function
an,null.son,AME_012,AE,20,F,0.199690894,3,5,175.7000819,AE_012-an-3,-1.420685298,function
an,null.son,AME_009,AE,21,F,0.306056502,3,2,209.8973588,AE_009-an-3,-0.759622701,function
an,null.son,AME_027,AE,21,F,0.195144481,2,3,189.4863707,AE_027-an-2,1.150127784,function
an,null.son,HKE_035,HKE,33,M,0.290697821,3,5,95.58735228,HKE_035-an-3,-1.017928982,function
an,null.son,AME_016,AE,20,F,0.332378297,1,6,174.4880512,AE_016-an-1,-0.1619749,function
an,null.son,HKE_013,HKE,26,F,0.370203003,1,6,247.2162594,HKE_013-an-1,1.386607892,function
